BUA22CD,BUA22NM,BUA22NMW,BUA22NMG,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length
E63000093,Ryton, , ,416087.1162,564168.5198,-1.750229732,54.97187752,93,2675625,26150
E63000094,Jarrow, , ,433514.4111,564090.3199,-1.47801088,54.97031174,94,8151250,58200
E63000095,Ovingham, , ,408581.0307,564077.7406,-1.867486835,54.97124578,95,300625,5350
E63000096,Haltwhistle, , ,370400.698,564055.6772,-2.463893923,54.97023377,96,1205625,14900
E63000097,Hexham, , ,393551.0433,563979.8519,-2.102268951,54.97039482,97,4397500,34400
E63000098,Prudhoe, , ,409837.1041,562830.5982,-1.847907983,54.96001582,98,3557500,32800
E63000099,Blaydon, , ,419039.9478,562829.4393,-1.704191602,54.95974106,99,5020000,35950
E63000100,Crawcrook and Greenside, , ,413894.6813,562786.6323,-1.784544545,54.95952512,100,1566875,18700
E63000101,Cleadon, , ,438149.7846,562151.7665,-1.405863857,54.95256029,101,1489375,10600
E63000102,Whitburn (South Tyneside), , ,440642.0504,562058.9352,-1.366965535,54.95152987,102,1288750,11750
E63000103,Boldon Colliery, , ,434561.2756,561886.8022,-1.461923377,54.95044009,103,1674375,12900
E63000104,East Boldon and West Boldon, , ,436024.6166,561441.2748,-1.439133053,54.94633348,104,1653125,12950
E63000105,Riding Mill, , ,401529.8126,561411.7584,-1.977647432,54.94735858,105,640625,7500
E63000106,Whickham, , ,420553.0653,561204.9956,-1.680677877,54.94508395,106,4198750,18350
E63000107,Harker, , ,338438.1947,561037.5615,-2.962464463,54.94018633,107,221250,4150
E63000108,South Bents, , ,440441.5275,560924.6732,-1.370255464,54.941354,108,255000,3100
E63000109,Brampton (Carlisle), , ,352947.767,560886.5467,-2.735980017,54.94041175,109,1872500,20700
E63000110,Oldwall, , ,348097.1362,560737.3645,-2.811659613,54.93858926,110,1641250,9450
E63000111,Gateshead, , ,427021.8575,560694.1631,-1.57974449,54.9401867,111,30103750,92100
E63000112,Stocksfield, , ,406348.2498,560435.4699,-1.902444267,54.9385485,112,1273750,8000
E63000113,Follingsby, , ,431020.9565,560315.4917,-1.517365358,54.93655233,113,801250,9650
E63000114,High Spen, , ,414017.081,559927.1849,-1.782771529,54.93382625,114,570625,9950
E63000115,Cargo, , ,336711.963,559315.6015,-2.989025426,54.92449834,115,234375,4200
E63000116,Burgh by Sands, , ,332627.6725,559117.5437,-3.052695328,54.92218354,116,345625,7900
E63000117,Sunniside, , ,420953.2165,558940.1872,-1.674595473,54.92471559,117,809375,10750
E63000118,Houghton (Carlisle), , ,341181.9573,558645.6081,-2.919152318,54.91902595,118,633750,13300
E63000119,Springwell, , ,428765.1176,558596.6207,-1.552743791,54.92124118,119,697500,9100
E63000120,Rowlands Gill, , ,415786.3314,558448.7265,-1.755240462,54.92048814,120,1674375,17900
E63000121,Chopwell, , ,411863.9106,558086.4523,-1.816450112,54.91734035,121,705625,12700
E63000122,Hayton (Carlisle), , ,350786.2168,557788.0384,-2.769185312,54.91236127,122,213125,3850
E63000123,Warwick Bridge, , ,347699.915,556833.7765,-2.817147642,54.90347258,123,446875,7450
E63000124,Washington, , ,431116.4029,556786.7359,-1.516256045,54.90483718,124,16611250,118700
E63000125,Sunderland, , ,437927.9373,556724.8983,-1.410041293,54.90381249,125,40575625,184300
E63000126,Burnopfield, , ,416888.1035,556709.9391,-1.738152811,54.90482727,126,653125,6950
E63000127,Kibblesworth, , ,424643.1614,556698.1027,-1.617213523,54.90440041,127,310625,4250
E63000128,Blackhall Mill, , ,411714.8444,556638.9071,-1.8188339,54.90433584,128,401250,8750
E63000129,Hamsterley Mill, , ,414289.1981,556359.8826,-1.778700509,54.90176207,129,361875,6600
E63000130,Birtley, , ,427085.4338,556122.5858,-1.579180778,54.89910293,130,5775625,32400
E63000131,Allendale Town, , ,383808.2218,555805.3415,-2.25399393,54.89671382,131,430000,9150
E63000132,Hobson, , ,417291.9583,555770.9531,-1.731910636,54.89637563,132,318750,5500
E63000133,Carlisle, , ,339584.3562,555720.2035,-2.943457819,54.8925499,133,21412500,110700
E63000134,Skinburness, , ,312436.4358,555660.4106,-3.366584754,54.88798889,134,320625,7350
E63000135,Scotby, , ,343834.0854,555565.068,-2.877179714,54.89165247,135,806875,15150
E63000136,Heads Nook, , ,349436.6417,555254.2424,-2.789788463,54.88945889,136,232500,6200
E63000137,Ebchester, , ,410422.1841,555169.5435,-1.839045613,54.89116008,137,327500,6900
E63000138,Kirkbride, , ,322852.5006,555113.1946,-3.204101305,54.88479055,138,774375,21450
E63000139,Tantobie, , ,417658.0216,554642.9585,-1.726271689,54.88622652,139,282500,6750
E63000140,Wetheral, , ,346455.0373,554583.8529,-2.836140208,54.88312409,140,614375,9050
E63000141,Urpeth, , ,425130.5491,554535.7037,-1.609800565,54.88494471,141,365625,4350
E63000142,Beamish, , ,422042.3788,554373.7477,-1.657949304,54.8836343,142,920000,7000
